recipe_id;ingredient_id;quantity;unit_of_measurement
1;1;1;tbsp
1;3;2;tbsp
1;32;5;tsp
1;22;4;piece
1;30;5;cup
1;7;4;piece
2;35;2;tsp
2;34;5;piece
2;2;5;tsp
3;6;4;g
3;1;2;tbsp
3;34;2;g
3;22;3;g
3;35;1;cup
3;25;3;piece
3;29;2;oz
3;8;5;piece
3;17;3;g
3;4;2;piece
4;23;1;g
4;15;3;tbsp
4;9;2;oz
4;30;5;cup
4;21;2;tsp
4;6;1;tsp
5;31;4;piece
5;13;1;g
5;34;4;piece
5;21;2;tbsp
6;31;5;tbsp
6;25;4;tbsp
6;17;1;cup
6;27;4;piece
6;5;2;tsp
6;26;1;oz
6;16;1;g
7;22;4;piece
7;24;3;tsp
7;20;3;cup
7;5;2;g
7;10;2;ml
7;13;2;tbsp
8;26;5;cup
8;25;1;oz
8;3;1;tsp
8;4;4;tsp
8;10;2;g
9;29;5;tbsp
9;8;2;oz
9;33;3;cup
9;24;2;piece
9;32;2;oz
9;19;5;tsp
9;13;4;piece
9;4;5;ml
9;2;4;tsp
9;12;4;ml
10;6;3;tbsp
10;12;4;cup
10;27;4;piece
10;31;5;cup
10;24;5;tbsp
10;25;4;ml
10;14;2;tbsp
11;27;2;piece
11;32;1;ml
11;5;5;cup
11;30;3;g
11;35;5;ml
11;10;4;tbsp
11;16;2;tsp
11;12;3;ml
12;10;5;ml
12;19;2;oz
12;28;4;cup
12;5;1;g
13;22;5;ml
13;5;5;g
13;6;4;oz
13;16;1;tbsp
13;32;5;tbsp
13;4;3;cup
14;11;4;cup
14;31;2;tsp
14;16;5;cup
14;33;1;g
14;27;4;cup
14;5;1;piece
14;12;1;cup
15;33;4;tsp
15;21;5;ml
15;8;4;ml
15;35;3;cup
16;34;2;cup
16;18;4;cup
16;35;1;piece
16;28;4;tbsp
16;8;1;ml
16;5;4;cup
16;6;1;tsp
16;29;5;tsp
16;10;2;cup
17;24;1;oz
17;34;5;ml
17;16;1;g
18;7;3;g
18;28;1;g
18;19;4;tsp
18;23;3;tsp
18;25;4;tsp
18;34;5;piece
18;4;1;oz
19;1;3;tsp
19;4;4;tbsp
19;33;1;tsp
19;27;1;oz
20;29;2;cup
20;15;3;piece
20;16;4;oz
21;3;5;piece
21;26;3;oz
21;1;5;piece
22;4;1;oz
22;12;2;oz
22;32;3;piece
22;29;4;oz
22;22;5;tbsp
22;19;2;oz
22;27;4;cup
22;5;4;tsp
22;23;1;ml
23;17;2;oz
23;22;3;piece
23;29;3;tsp
23;35;3;tsp
23;32;5;cup
23;27;3;ml
23;28;1;tsp
24;29;5;ml
24;34;4;piece
24;31;1;g
24;10;4;ml
24;6;1;cup
24;7;3;oz
25;23;4;tbsp
25;3;1;oz
25;19;2;oz
25;29;3;oz
25;32;5;g
25;17;1;g
25;31;4;cup
25;9;2;cup
25;35;1;tsp
25;30;2;oz
