user_id;recipe_id;value
1;1;4
2;1;4
3;1;4
4;1;2
5;1;4
6;1;4
7;1;4
8;1;3
9;1;1
10;1;3
1;2;2
2;2;4
3;2;4
4;2;2
5;2;4
6;2;5
7;2;3
8;2;4
9;2;2
10;2;5
1;3;4
2;3;3
3;3;1
4;3;3
5;3;1
6;3;3
7;3;2
8;3;2
9;3;5
10;3;4
1;4;4
2;4;2
3;4;1
4;4;2
5;4;1
6;4;2
7;4;4
8;4;2
9;4;5
10;4;5
1;5;4
2;5;3
3;5;2
4;5;1
5;5;3
6;5;4
7;5;2
8;5;1
9;5;5
10;5;2
1;6;3
2;6;4
3;6;2
4;6;1
5;6;5
6;6;5
7;6;4
8;6;5
9;6;3
10;6;4
1;7;4
2;7;1
3;7;3
4;7;1
5;7;5
6;7;5
7;7;3
8;7;3
9;7;5
10;7;4
1;8;3
2;8;5
3;8;3
4;8;1
5;8;3
6;8;2
7;8;3
8;8;2
9;8;4
10;8;3
1;9;5
2;9;3
3;9;1
4;9;3
5;9;3
6;9;4
7;9;3
8;9;1
9;9;5
10;9;5
1;10;1
2;10;3
3;10;4
4;10;2
5;10;4
6;10;1
7;10;3
8;10;5
9;10;2
10;10;2
1;11;3
2;11;2
3;11;2
4;11;2
5;11;3
6;11;4
7;11;5
8;11;4
9;11;4
10;11;5
1;12;3
2;12;1
3;12;2
4;12;3
5;12;1
6;12;2
7;12;1
8;12;4
9;12;5
10;12;5
1;13;1
2;13;3
3;13;5
4;13;4
5;13;4
6;13;3
7;13;5
8;13;3
9;13;3
10;13;2
1;14;5
2;14;1
3;14;3
4;14;4
5;14;3
6;14;5
7;14;1
8;14;5
9;14;3
10;14;5
1;15;5
2;15;4
3;15;4
4;15;5
5;15;4
6;15;4
7;15;1
8;15;2
9;15;4
10;15;2
1;16;2
2;16;2
3;16;2
4;16;1
5;16;2
6;16;1
7;16;3
8;16;3
9;16;5
10;16;2
1;17;2
2;17;5
3;17;5
4;17;4
5;17;1
6;17;4
7;17;5
8;17;5
9;17;1
10;17;4
1;18;5
2;18;5
3;18;5
4;18;1
5;18;5
6;18;2
7;18;1
8;18;4
9;18;1
10;18;5
1;19;4
2;19;5
3;19;4
4;19;4
5;19;4
6;19;1
7;19;2
8;19;5
9;19;3
10;19;2
1;20;3
2;20;4
3;20;5
4;20;1
5;20;2
6;20;2
7;20;4
8;20;1
9;20;3
10;20;1
1;21;5
2;21;2
3;21;1
4;21;5
5;21;5
6;21;1
7;21;1
8;21;3
9;21;5
10;21;4
1;22;4
2;22;3
3;22;2
4;22;5
5;22;4
6;22;2
7;22;1
8;22;5
9;22;2
10;22;5
1;23;2
2;23;5
3;23;5
4;23;5
5;23;1
6;23;1
7;23;1
8;23;3
9;23;2
10;23;4
1;24;5
2;24;5
3;24;5
4;24;2
5;24;3
6;24;1
7;24;4
8;24;2
9;24;3
10;24;5
1;25;3
2;25;4
3;25;5
4;25;4
5;25;1
6;25;3
7;25;4
8;25;2
9;25;1
10;25;1
